"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RLHCS9HQ","journalArticle","2014","Borghetto, Enrico; Mäder, Lars","EU law revisions and legislative drift","European Union Politics","","1465-1165","10.1177/1465116513513345","https://doi.org/10.1177/1465116513513345","European Union research has made great strides in understanding the dynamics of the European Union decision-making process. In contrast to this progress, the dynamics unfolding after the enactment of a European Union secondary legislative act has largely been ignored. Some of these acts remain in force in their original form for several years while others are revised soon after their enactment. What factors account for this variation? We empirically analyze the proposition that in the presence of ‘legislative drift,’ i.e. the intertemporal variation of decision-makers’ preferences, major revisions of European Union legislative acts are more likely to occur. Based on an analysis of the revision histories of 158 major European Union acts in the time period between 1958 and 2003, we find significant support for this hypothesis., European Union research has made great strides in understanding the dynamics of the European Union decision-making process. In contrast to this progress, the dynamics unfolding after the enactment of a European Union secondary legislative act has largely been ignored. Some of these acts remain in force in their original form for several years while others are revised soon after their enactment. What factors account for this variation? We empirically analyze the proposition that in the presence of ‘legislative drift,’ i.e. the intertemporal variation of decision-makers’ preferences, major revisions of European Union legislative acts are more likely to occur. Based on an analysis of the revision histories of 158 major European Union acts in the time period between 1958 and 2003, we find significant support for this hypothesis.","2014-06-01","2018-07-02 09:07:42","2018-07-02 09:08:56","2018-07-02 09:07:42","171-191","","2","15","","European Union Politics","","","","","","","","en","All rights reserved","","","","SAGE Journals","","","","/Users/eborghetto/Documents/Zotero/storage/Borghetto_Mäder_2014_EU law revisions and legislative drift.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CILLCDG5","journalArticle","2018","Borghetto, Enrico; Lisi, Marco","Productivity and Reselection in a Party-based Environment: Evidence from the Portuguese Case","Parliamentary Affairs","","0031-2290","10.1093/pa/gsx051","https://academic.oup.com/pa/article/71/4/868/4831466","Abstract.  Portugal is a crucial case when studying candidate reselection in a party-dominated setting. While we expect the productivity of Members of Parliamen","2018-10-01","2018-09-21 18:34:31","2018-09-21 18:36:13","2018-09-21 18:34:31","868-887","","4","71","","Parliam Aff","Productivity and Reselection in a Party-based Environment","","","","","","","en","All rights reserved","","","","academic.oup.com","","","","/Users/eborghetto/Documents/Zotero/storage/M3MTQM2F/Borghetto_Lisi_2018_Productivity and Reselection in a Party-based Environment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKR2ZMHU","bookSection","2019","Borghetto, Enrico; Chaques-Bonafont, Laura","Parliamentary Questions","Comparative Policy Agendas: Theory, Tools, Data","978-0-19-883533-2","","","https://doi.org/10.1093/oso/9780198835332.003.0029","This book summarizes recent advances in the work on agenda-setting in a comparative perspective. The book first presents and explains the data-gathering effort undertaken within the Comparative Agendas Project over the past ten years. Individual country chapters then present the research undertaken within the many national projects. The third section illustrates the possibilities and directions for new research in comparative public policy using the data presented in this book. All the data used and discussed in the book is moreover publicly available. The book represents a significant contribution to the study of comparative public policy. By introducing a unified research infrastructure it opens up new possibilities for both empirical and theoretical research in this area.","2019-03-14","2019-02-13 11:10:35","2024-08-11 08:39:31","","282-299","","","","","","","","","","","Oxford University Press","Oxford, New York","","All rights reserved","","","","Oxford University Press","","","","/Users/eborghetto/Documents/Zotero/storage/67FNS2P9/Borghetto_Chaques-Bonafont_2019_Parliamentary Questions.pdf","","","","Baumgartner, Frank R.; Breunig, Christian; Grossman, Emiliano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56WBQRXH","bookSection","2014","Borghetto, Enrico; Carammia, Marcello; Zucchini, Francesco","The Impact of Party Policy Priorities on Italian Law-Making from the First to the Second Republic (1983-2006)","Agenda Setting, Policies, and Political Systems","978-0-226-12830-6","","","","","2014","2013-02-14 10:57:57","2019-02-13 11:54:30","","164-182","","","","","","","","","","","Chicago University Press","Chicago","","All rights reserved","","","","","","DOI: 10.7208/chicago/9780226128443.001.0001","","/Users/eborghetto/Documents/Zotero/storage/GG6ZKR9W/Borghetto et al_2014_The Impact of Party Policy Priorities on Italian Law-Making from the First to.pdf","","","","Walgrave, Stefaan; Green-Pedersen, Christoffer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I94M5CJR","bookSection","2015","Borghetto, Enrico; Visconti, Francesco","Governing by revising. A study on post-enactment policy change in Italy","The Challenge of Coalition Government: The Italian case","","","","","","2015","2014-04-22 15:15:25","2019-02-13 11:47:06","","106-127","","","","","","","","","","","Routledge","Abingdon","","All rights reserved","","","","","","DOI: 10.4324/9781315746937","","/Users/eborghetto/Documents/Zotero/storage/WAYVU8ED/Borghetto_Visconti_2015_Governing by revising.pdf","","","","Conti, Nicolò; Marangoni, Francesco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCXYHNJU","bookSection","2018","Koprić, Ivan; Hlynsdóttir, Eva Marin; Džinić, Jasmina; Borghetto, Enrico","Institutional environments and mayors’ role perceptions","Political Leaders and Changing Local Democracy: The European Mayor","978-3-319-67409-4","","","","This book studies political leadership at the local level, based on data from a survey of the mayors of cities of more than 10,000 inhabitants in 29 European countries carried out between 2014 and 2016. The book compares these results with those of a similar survey conducted ten years ago. From this comparative perspective, the book examines how to become a mayor in Europe today, the attitudes of these politicians towards administrative and territorial reforms, their notions of democracy, their political priorities, whether or not party politicization plays a role at the municipal level, and how mayors interact with other actors in the local political arena. This study addresses students, academics and practitioners concerned at different levels with the functioning and reforms of the municipal level of local government.","2018-01-19","2018-01-02 16:36:54","2019-02-13 11:43:18","","149-173","","","","","","","","","","","Palgrave Macmillan","","English","All rights reserved","","","","Amazon","","DOI: 10.1007/978-3-319-67410-0_5","","/Users/eborghetto/Documents/Zotero/storage/5FPH9398/Koprić et al_2018_Institutional environments and mayors’ role perceptions.pdf","","","","Heinelt, Hubert; Magnier, Annick; Cabria, Marcello; Reynaert, Herwig","","","","","","","","","","","","","","","","","","","1st ed. 2018 edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKFMK3J8","bookSection","2015","Borghetto, Enrico; Carammia, Marcello","Party Priorities, Government Formation, and the Making of the Executive Agenda","The Challenge of Coalition Government: The Italian case","978-1-138-81510-0","","","","","2015","2014-04-22 15:04:42","2019-02-12 21:58:18","","36-57","","","","","","","","","","","Routledge","Abingdon","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/8YC4RCQ6/Borghetto_Carammia_2015_Party Priorities, Government Formation, and the Making of the Executive Agenda.pdf","","","","Conti, Nicolò; Marangoni, Francesco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WWQWF5A7","bookSection","2015","Borghetto, Enrico","Questioning the Government in Time of Crisis. An Analysis of Question Time in Spain","Aftermath. Political and urban consequences of the euro crisis","978-989-689-497-9","","","","","2015","2015-05-19 10:41:47","2019-02-12 21:54:50","","91-116","","","","","","","","","","","Edições Colibri","Lisbon","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/2NAGFN47/Borghetto_2015_Questioning the Government in Time of Crisis.pdf","","","","Preunkert,, Jenny; Baptista, Luis; Vobruba, Georg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"777WM242","journalArticle","2009","Borghetto, Enrico; Giuliani, Marco; Zucchini, Francesco","Quanta Bruxelles c'è a Roma? L'europeizzazione della produzione normativa italiana","Rivista Italiana di Politiche Pubbliche","","1722-1137","10.1483/29153","","","2009","2019-02-12 21:39:41","2019-07-23 20:03:26","","135-162","","1/2009","","","","Quanta Bruxelles c'è a Roma?","","","","","","","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/Borghetto et al_2009_Quanta Bruxelles c'è a Roma.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JJU9W5SU","journalArticle","2014","Borghetto, Enrico","Legislative processes as sequences: exploring temporal trajectories of Italian law-making by means of sequence analysis","International Review of Administrative Sciences","","0020-8523","10.1177/0020852313517996","https://doi.org/10.1177/0020852313517996","The study of time in legislative processes has so far understood time mainly as duration (of the process as a whole or of its single stages). This work contributes to existing research by presenting a new approach to the study of time which takes as the unit of analysis the whole temporal trajectory followed by a bill from its introduction to the floor to its final adoption. Legislative processes are conceived of as sequences of stages a bill has to go through before its final adoption. The relative time spent in each of these stages varies considerably. This work aims to explore the determinants of variation in the observed trajectories of relative duration. To this end, it applies the tools of discrepancy sequence analysis, a method commonly employed for the study of occupational histories or life courses. The analysis was conducted on a sample of Italian legislative acts adopted in Italy from 1987 to 2008.","2014-09-01","2013-08-25 17:56:46","2019-07-23 19:56:08","2019-07-23 19:53:03","553-576","","3","80","","International Review of Administrative Sciences","Legislative processes as sequences","","","","","","","en","All rights reserved","","","","SAGE Journals","","","","/Users/eborghetto/Documents/Zotero/storage/6WF62GZP/Borghetto_2014_Legislative processes as sequences.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TS8KRD8K","journalArticle","2012","Borghetto, Enrico; Curini, Luigi; Giuliani, Marco; Pellegata, Alessandro; Zucchini, Francesco","Italian Law-Making Archive: A new tool for the analysis of the Italian legislative process","Rivista italiana di scienza politica","","0048-8402","10.1426/38618","","","2012","2012-03-25 12:28:50","2019-07-23 19:56:03","","","","3/2012","","","SP","Italian Law-Making Archive","","","","","","","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/Borghetto et al_2012_Italian Law-Making Archive.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z36KZDV4","bookSection","2019","Belchior, Ana Maria; Borghetto, Enrico","The Portuguese Policy Agendas Project","Comparative Policy Agendas: Theory, Tools, Data","978-0-19-883533-2","","","https://doi.org/10.1093/oso/9780198835332.003.0016","This book summarizes recent advances in the work on agenda-setting in a comparative perspective. The book first presents and explains the data-gathering effort undertaken within the Comparative Agendas Project over the past ten years. Individual country chapters then present the research undertaken within the many national projects. The third section illustrates the possibilities and directions for new research in comparative public policy using the data presented in this book. All the data used and discussed in the book is moreover publicly available. The book represents a significant contribution to the study of comparative public policy. By introducing a unified research infrastructure it opens up new possibilities for both empirical and theoretical research in this area.","2019-03-14","2019-02-13 11:11:02","2024-08-11 08:37:06","","145-151","","","","","","","","","","","Oxford University Press","Oxford","","All rights reserved","","","","Oxford University Press","","","","/Users/eborghetto/Documents/Zotero/storage/HPAHYVWV/Belchior_Borghetto_2019_The Portuguese Policy Agendas Project.pdf","","","","Baumgartner, Frank R.; Breunig, Christian; Grossman, Emiliano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"964ZAGKD","bookSection","2020","Borghetto, Enrico; Lisi, Marco","Legislative Activities before and after the Great Recession: An Analysis of Unemployment and Social Welfare Issues","Political Representation and Citizenship in Portugal","","","","","","2020","2020-02-23 18:47:18","2020-02-23 19:07:20","","173-191","","","","","","","","","","","Lexington Books","Lanham, Maryland","","All rights reserved","","","","","","","","","","","","Lisi, Marco; Freire, André; Tsatsanis, Emmanouil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ZTSKQRS","journalArticle","2019","Borghetto, Enrico","Review ""Ensaios de Política Comparada de Giovanni Sartori""","Analise Social","","","https://doi.org/10.31447/as00032573.2019233.13","","","2019","2020-01-10 16:15:56","2020-02-06 16:07:33","","899-902","","4","233","","","","","","","","","","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/WAAZBNIZ/Borghetto_2019_Review Ensaios de Política Comparada de Giovanni Sartori.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXVQC5EE","journalArticle","2016","Borghetto, Enrico","Review ""Crise Económica, Políticas de Austeridade e Representação Política"", Lisboa, Assembleia da República – Divisão de edições, 2015""","Analise Social","","","","","","2016","2016-11-27 18:36:15","2020-05-14 17:13:39","","462-466","","","219","","","","","","","","","","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/A2B5KIT6/Borghetto_2016_Review Crise Económica, Políticas de Austeridade e Representação Política,.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8X82EQ6A","bookSection","2019","Carammia, Marcello; Borghetto, Enrico; Sousa Galito, Maria","A Agenda do Conselho Europeu face às Crises","O estado da União Europeia: : Da(s) Crise(s) à Mudança?","978-972-685-288-9","","","","","2019","2019-12-06 11:53:54","2020-05-13 18:01:37","","23-42","","","","","","","","","","","Petrony","Lisboa","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/NPL7LA6Z/Carammia et al_2019_A Agenda do Conselho Europeu face às Crises.pdf","","","","Camisão, Isabel; Brandão, Ana Paula","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PESSLSF3","bookSection","2019","Borghetto, Enrico; Carammia, Marcello; Russo, Federico","The Italian Agendas Project","Comparative Policy Agendas: Theory, Tools, Data","978-0-19-883533-2 978-0-19-187294-5","","","http://www.oxfordscholarship.com/view/10.1093/oso/9780198835332.001.0001/oso-9780198835332-chapter-13","Since the beginning of its Republican history, the Italian political system has functioned according to two rather different logics. From 1948 to 1994 the Christian Democratic Party was uninterruptedly in office, often in coalition, while the Communist Party remained the major opposition party. After the collapse of these parties, a new system based on the alternation between a centre-right and a centre-left coalition emerged. To date the Italian Policy Agendas Project has released six datasets covering party manifestos, parliamentary questions, investiture speeches, laws, decrees, and budgetary data. Through their analysis, it is possible to assess the elements of stability and change that characterized Italian politics since the mid-eighties as well as some recent evolutions such as the mediatization and personalization of politics, the crisis of mainstream parties, and the advent of anti-establishment and populist parties as key actors of the system.","2019-03-14","2019-02-13 11:11:06","2020-05-13 17:25:14","2020-04-06 09:44:23","120-128","","","","","","","","","","","Oxford University Press","","en","All rights reserved","","","","DOI.org (Crossref)","","DOI: 10.1093/oso/9780198835332.003.0013","","/Users/eborghetto/Documents/Zotero/storage/ML5G62HZ/Borghetto et al_2019_The Italian Agendas Project.pdf; /Users/eborghetto/Documents/Zotero/storage/FXRQRNLM/Borghetto et al. - 2019 - The Italian Agendas Project.pdf","","","","Baumgartner, Frank; Breunig, Christian; Grossman, Emiliano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9JW4NCTF","journalArticle","2020","Borghetto, Enrico; Belchior, Ana Maria","Party Manifestos, Opposition and Media as Determinants of the Cabinet Agenda","Political Studies","","","10.1177/0032321718820738","https://journals.sagepub.com/doi/abs/10.1177/0032321718820738","Cabinets are the engine of policy change in parliamentary systems. Yet, we still know little about how cabinets micro-manage the content of their multifaceted agenda during their term in office. Drawing on the party and agenda-setting literature, this article addresses this gap by focusing on three main determinants of cabinet priorities: issue priorities in the electoral platforms of majority and opposition parties, and new and unforeseen problems as conveyed by the media. Our analysis reveals that (1) majority platforms have a stronger impact on the cabinet agenda than those of opposition parties, but this effect decreases as the legislative term progresses; (2) cabinet agendas do take into consideration opposition electoral priorities but only when the latter are expressed by mainstream competitors or when the media focus on them and (3) an externally imposed adjustment programme can also create the conditions for strengthening the congruence between electoral and cabinet agendas.","2020","2019-02-15 15:24:39","2020-04-29 13:52:17","2019-06-04 11:57:32","37-53","","1","68","","","Party Manifestos, Opposition and Media as Determinants of the Cabinet Agenda","","","","","","","en","All rights reserved","","","Sage UK: London, England","journals.sagepub.com","","","","/Users/eborghetto/Documents/Zotero/storage/J244TD7U/Borghetto_Belchior_2020_Party Manifestos, Opposition and Media as Determinants of the Cabinet Agenda.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
